"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"296","Diuretics","Potassium-sparing diuretics and aldosterone antagonists","0202030S0","Spironolactone"
"297","Cough preparations","Expectorant and demulcent cough preparations","0309020AG","Citric acid monohydrate/ipecacuanha"
"298","Drugs used in neuromuscular disorders","Skeletal muscle relaxants","1002020S0","Methocarbamol"
"299","Drugs used in diabetes","Antidiabetic drugs","0601023AE","Linagliptin"
"300","Cytotoxic drugs","Other antineoplastic drugs","0801050AL","Oxaliplatin"
"301","Bronchodilators","Adrenoceptor agonists","0301011Z0","Olodaterol"
"302","Anticoagulants and protamine","Oral anticoagulants","0208020Y0","Rivaroxaban"
"303","Oral nutrition","Non-ACBS ketogenic diet","0913431B0","Ready to serve 100% MCT liquid (0913431)"
"304","Hypnotics and anxiolytics","Barbiturates","0401030H0","Butobarbital"
"305","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010V0","Rimexolone"
"306","Oral nutrition","Ketogenic diet","0913181G0","Ready to serve 4:1 milkshake with fibre (0913181)"
"307","Antibacterial drugs","Penicillins","0501012G0","Flucloxacillin sodium"
"308","Antiprotozoal drugs","Antimalarials","0504010F0","Chloroquine phosphate"
"309","Minerals","Calcium and magnesium","0905013A0","Magnesium aspartate"
"310","Drugs used in diabetes","Diabetic diagnostic and monitoring agents","0601060X0","Glucose and ketone blood testing reagents"
"311","Corticosteroids (respiratory)","Corticosteroids (respiratory)","0302000U0","Ciclesonide"
"312","Bronchodilators","Compound bronchodilator preparations","0301040W0","Umeclidinium bromide/vilanterol"
"313","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020L0","Kaolin heavy"
"314","Hypertension and heart failure","Renin-angiotensin system drugs","0205052Q0","Telmisartan"
"315","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010T0","Triamcinolone acetonide"
"316","Bronchodilators","Antimuscarinic bronchodilators","0301020S0","Glycopyrronium bromide"
"317","Thyroid and antithyroid drugs","Antithyroid drugs","0602020I0","Potassium iodide"
"318","Oral nutrition","Non-ACBS low protein food","0913451J0","Food replacer discontinued or OTC milk (0913451)"
"319","Antibacterial drugs","Antituberculosis drugs","0501090V0","Bedaquiline"
"320","Oral nutrition","ONS - Condition specific (paed)","0913092A0","Powder 5 kcal/g formula (0913092)"
"321","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000C0","Antazoline hydrochloride"
"322","Oral nutrition","Inherited metabolic disorder - Protein source","0913204B0","Powder 15g protein equivalent (0913204)"
"323","Vaginal Moisturisers","Vaginal Moisturisers","2123","Vaginal Moisturisers"
"324","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000R0","Sulfur"
"325","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000W0","Palifermin"
"326","Anti-infective eye preparations","Antifungals","1103020A0","Amphoteracin"
"327","General anaesthesia","Sedative and analgesic peri-operative drgs","1501043A0","Alfentanil hydrochloride"
"328","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010L0","Aluminium and magnesium and activated simeticone"
"329","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030U0","Methotrexate"
"330","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000P0","Cetrimide"
"331","Analgesics","Opioid analgesics","0407020AG","Tapentadol"
"332","Anti-infective skin preparations","Parasiticidal preparations","1310040S0","Phenothrin"
"333","Contraceptives","Combined hormonal contraceptives and systems","0703010R0","Estradiol valandestradiol valerate with dienogest"
"334","Laxatives","Bowel cleansing preparations","0106050M0","Magnesium citrate"
"335","Enteral nutrition","Tube feed - Standard","0914011G0","Tube feed 1.3kcal/ml with fibre, higher protein (0914011)"
"336","Minerals","Calcium and magnesium","0905013N0","Magnesium sulfate"
"337","Antiviral drugs","Influenza","0503040A0","Zanamivir"
"338","Oral nutrition","ONS - Standard (paed)","0913021I0","Ready to serve 2.4 kcal/ml milkshake lower volume (0913021)"
"339","Laxatives","Bowel cleansing preparations","0106050S0","Sodium picosulfate"
"340","Acne and rosacea","Topical preparations for acne","1306010AB","Clindamycin/tretinoin"
"341","Local anaesthetics","Local anaesthetics","1107000C0","Tetracaine hydrochloride"
"342","Antiviral drugs","Herpesvirus infections","0503022C0","Cidofovir"
"343","Drugs used in diabetes","Antidiabetic drugs","0601023AJ","Alogliptin/metformin"
"344","Topical corticosteroids","Topical corticosteroids","1304000U0","Halcinonide"
"345","Antiepileptic drugs","Control of epilepsy","0408010AG","Stiripentol"
"346","Treatment of glaucoma","Treatment of glaucoma","1106000T0","Levobunolol hydrochloride"
"347","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AM","Dexibuprofen"
"348","Laxatives","Osmotic laxatives","0106040R0","Sodium citrate (Rectal)"
"349","Diuretics","Potassium sparing diuretics and compounds","0202040U0","Triamterene with loop diuretics"
"350","Antiviral drugs","HIV infection","0503010C0","Nelfinavir mesilate"
"351","Oral nutrition","Non-ACBS ONS","0913311G0","RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913311)"
"352","Drugs acting on the ear","Otitis externa","1201010AG","Phenazone/lidocaine"
"353","Antibacterial drugs","Macrolides","0501050T0","Telithromycin"
"354","Contraceptives","Progestogen-only contraceptives","0703021C0","Etynodiol diacetate"
"355","Drugs used in diabetes","Antidiabetic drugs","0601022B0","Metformin hydrochloride"
"356","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010H0","Flupentixol hydrochloride"
"357","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020V0","Cocois"
"358","Oral nutrition","Infant follow on formula - Condition specific","0913131B0","Powder amino acid semi solid  (0913131)"
"359","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010K0","Cyproheptadine hydrochloride"
"360","Hypertension and heart failure","Alpha-adrenoceptor blocking drugs","0205040S0","Prazosin hydrochloride"
"361","Antibacterial drugs","Some other antibacterials","0501070U0","Vancomycin hydrochloride"
"362","Dyspepsia and gastro-oesophageal reflux disease","Compound alginates and proprietary indigestion preparations","0101021C0","Calcium carbonate"
"363","Vitamins","Vitamin B group","090602700","Other vitamin B compound preparations"
"364","Antiperspirants","Antiperspirants","131200000","Other antiperspirant preparations"
"365","Hypnotics and anxiolytics","Anxiolytics","0401020T0","Oxazepam"
"366","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AG","Netupitant/palonosetron hydrochloride"
"367","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050Y0","Yohimbine hydrochloride"
"368","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010U0","Bosentan"
"369","X-Ray contrast media","X-ray contrast media","1803000A0","Other x-ray contrast media preparations"
"370","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011K0","Ferrous glycine sulfate"
"371","Vaccines and antisera","Vaccines and antisera","1404000AM","Humpapvirus(Type 6,11,16,18,31,33,45,52,58)"
"372","Drugs used in rheumatic diseases and gout","Gout and cytotoxic induced hyperuicaemia","1001040U0","Rasburicase"
"373","Oral nutrition","Non-ACBS milk replacer","0913491A0","Milk substitute OTC milk replacer (0913491)"
"374","Antiprotozoal drugs","Drugs for pneumocystis pneumonia","0504080P0","Pentamidine isetionate"
"375","Corticosteroids (respiratory)","Corticosteroids (respiratory)","0302000V0","Fluticasone furoate/vilanterol"
"376","Drugs affecting the immune response","Other immunomodulating drugs","0802040AQ","Aldesleukin"
"377","Antisecretory drugs and mucosal protectants","H2-receptor antagonists","0103010T0","Ranitidine hydrochloride"
"378","Antibacterial drugs","Quinolones","0501120Y0","Moxifloxacin"
"379","Anti-infective skin preparations","Antifungal preparations","1310020A0","Amorolfine hydrochloride"
"380","Analgesics","Antimigraine drugs","0407041T0","Sumatriptan succinate"
"381","Chronic bowel disorders","Aminosalicylates","0105010B0","Mesalazine (Systemic)"
"382","Anti-infective skin preparations","Antibacterial preparations","1310012K0","Metronidazole"
"383","Antiviral drugs","HIV infection","0503010AP","Dolutegravir/rilpivirine"
"384","Vitamins","Vitamin B group","0906023N0","Pantothenic acid (Calcium pantothenate)"
"385","Oral nutrition","Vit & min supplement - Condition specific","0913282B0","Tablets/capsules micronutrient supplement (0913282)"
"386","Drugs acting on the oropharynx","Lozenges and sprays","1203030M0","Lidocaine hydrochloride"
"387","Lipid-regulating drugs","Lipid-regulating drugs","0212000C0","Cerivastatin"
"388","Cytotoxic drugs","Other antineoplastic drugs","0801050AT","Lapatinib"
"389","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000R0","Propranolol hydrochloride"
"390","Lipid-regulating drugs","Lipid-regulating drugs","0212000J0","Ispaghula husk"
"391","Oral nutrition","ONS - Condition specific (paed)","0913091B0","Ready to serve 1 kcal/ml milkshake style (0913091)"
"392","Skin Closure Strips, Sterile","Skin Closure Strips, Sterile","2014","Skin Closure Strips, Sterile"
"393","Cytotoxic drugs","Other antineoplastic drugs","0801050AB","Bexarotene"
"394","Drugs used in obstetrics","Mifepristone","0701020K0","Mifepristone"
"395","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020AC","Epinastine hydrochloride"
"396","Drugs used in diabetes","Antidiabetic drugs","0601023AA","Vildagliptin"
"397","Lipid-regulating drugs","Lipid-regulating drugs","0212000F0","Colestyramine"
"398","Analgesics","Opioid analgesics","0407020H0","Dipipanone hydrochloride"
"399","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010K0","Co-beneldopa (Benserazide/levodopa)"
"400","Contraceptives","Combined hormonal contraceptives and systems","0703010M0","Combined mestranol"
"401","Antibacterial drugs","Cephalosporins and other beta-lactams","0501020T0","Cefamandole"
"402","Local anaesthesia","Local anaesthetics","1502010U0","Procaine hydrochloride"
"403","Oral nutrition","Non-ACBS ONS - Cancer specific","0913631B0","Ready to serve 1.6 kcal/ml milkshake lower volume (0913631)"
"404","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010AG","Somatrogon"
"405","Fluids and electrolytes","Oral preparation for fluid and electrolyte imbalance","0902011P0","Sodium polystyrene sulfonate"
"406","Laxatives","Osmotic laxatives","0106040N0","Phosphates (Rectal)"
"407","Emollient and barrier preparations","Emollients","1302010F0","Emulsifying wax"
"408","General anaesthesia","Intravenous anaesthetics","1501010Q0","Remifentanil hydrochloride"
"409","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020S0","Salicylic acid"
"410","Acne and rosacea","Topical preparations for acne","1306010I0","Erythromycin"
"411","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000W0","Metoprolol tartrate with diuretic"
"412","Oral nutrition","Inherited metabolic disorder - Protein source","0913205B0","Powder 10g protein equivalent (0913205)"
"413","Drugs used in diabetes","Antidiabetic drugs","0601023U0","Nateglinide"
"414","Antiviral drugs","Herpesvirus infections","0503022B0","Valganciclovir hydrochloride"
"415","Positive inotropic drugs","Phosphodiesterase Type-3 inhibitors","0201020G0","Enoximone"
"416","Antifibrotics","Antifibrotics","0311010B0","Pirfenidone"
"417","Antiepileptic drugs","Drugs used in status epilepticus","0408020V0","Midazolam maleate"
"418","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030K0","Deferasirox"
"419","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030X0","Golimumab"
"420","Lipid-regulating drugs","Lipid-regulating drugs","0212000AB","Omega-3-acid ethyl esters"
"421","Sex hormones and hormone antagonists in malignant disease","Oestrogens","0803010K0","Diethylstilbestrol"
"422","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","110802050","Sodium citrate"
"423","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020AB","Timothy grass pollen allergen extract"
"424","Drugs affecting the immune response","Other immunomodulating drugs","0802040AL","Teriflunomide"
"425","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010AH","Clotiapine"
"426","Treatment of glaucoma","Treatment of glaucoma","1106000C0","Acetazolamide sodium"
"427","Cytotoxic drugs","Other antineoplastic drugs","0801050AE","Erlotinib"
"428","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AB","Palonosetron hydrochloride"
"429","Cough preparations","Expectorant and demulcent cough preparations","0309020X0","Terpin hydrate"
"430","Management of skin conditions","Management of skin conditions","1301010V0","Wool alcohols"
"431","Antiprotozoal drugs","Antigiardial drugs","0504040M0","Mepacrine hydrochloride"
"432","Oral nutrition","Non-ACBS low protein food","0913451B0","Food replacer discontinued or OTC cake mix (0913451)"
"433","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AG","Gluten free/wheat free meals"
"434","Antibacterial drugs","Antituberculosis drugs","0501090I0","Ethionamide"
"435","Anticoagulants and protamine","Oral anticoagulants","0208020W0","INR blood testing reagents"
"436","Sex Hormones","Female sex hormones and their modulators","0604011G0","Estradiol"
"437","Cytotoxic drugs","Other antineoplastic drugs","0801050AH","Porfimer sodium"
"438","Treatment of glaucoma","Treatment of glaucoma","1106000B0","Acetazolamide"
"439","Drugs acting on the ear","Otitis externa","1201010U0","Prednisolone sodium phosphate"
